question_id,clean_text,keywords_found,keyword_categories
3849056,Where are the WEFARM offices used?,[],[]
3849077,"My wife, Ezaire, is a good-for-nothing woman, and I'm a good-for-nothing woman, but I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing.",[],[]
3849077,"My wife, Ezaire, is a good-for-nothing woman, and I'm a good-for-nothing woman, but I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing.",[],[]
3849078,E. Radio broadcasters are not allowed to listen to the radio while those who listen to it are not allowed to listen to it or even to listen to it when they read the message.,[],[]
3849082,It's a viroboto vaccine for chicken.,['chicken'],['livestock']
3849096,S dawa.ya.viroboto.kwa.kuku is also available.,[],[]
3849117,"Q Niko Na Punda,anakohoa and Drwa Gany Naexa Mpea and Ako near Kuzaa",[],[]
3849143,What kind of cow eats 20 litres of milk a day?,"['cow', 'milk']","['livestock', 'livestock']"
3849195,I'm with ten people who are busy right now asking if you're going to come and explain the situation to them.,[],[]
3849220,E watermeroni eggplant by Amos omuri the eagle.,[],[]
3849249,His name is stephen.,[],[]
3849286,A day in the life of Ghana and Benin.,[],[]
3849297,"You know everything about cheating, cheating, cheating, cheating, and cheating - that's all!",[],[]
3849303,"If I plant corn pila fertilizer, and then I use a mixture of D A P and urea, will it grow?","['corn', 'grow', 'plant', 'fertilizer']","['crops', 'actions', 'actions', 'inputs']"
3849313,S napier is what makes a cow drink more milk.,"['cow', 'milk']","['livestock', 'livestock']"
3849313,S napier is what makes a cow drink more milk.,"['cow', 'milk']","['livestock', 'livestock']"
3849327,E Alex Omwani Tigukakwata Enjura Hasigireyo Nkye Orinde The second month of Enjura Yangwa,[],[]
