question_id,question_content,question_language,question_topic,question_user_country_code,question_sent,translated_en
3849056,E ABA WEFARM OFFICES ZABO NIZISHANGWA NKAHI?,nyn,,ug,2017-11-22 12:25:03+00:00,Where are the WEFARM offices used?
3849077,"E ENTE YANJE EZAIRE ENYENA YASHOBERA. 
OBWIRE BWOKUZARA BUBAIRE BWAHIKIRE EZAIRE AKANYENA KAKYE KAMARAHO ENDAKIKA ITANO KAFA .KANDI NKAZINJE .OBWO NIBURWIREKI??",nyn,cat,ug,2017-11-22 12:25:08+00:00,"My wife, Ezaire, is a good-for-nothing woman, and I'm a good-for-nothing woman, but I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing."
3849077,"E ENTE YANJE EZAIRE ENYENA YASHOBERA. 
OBWIRE BWOKUZARA BUBAIRE BWAHIKIRE EZAIRE AKANYENA KAKYE KAMARAHO ENDAKIKA ITANO KAFA .KANDI NKAZINJE .OBWO NIBURWIREKI??",nyn,cattle,ug,2017-11-22 12:25:08+00:00,"My wife, Ezaire, is a good-for-nothing woman, and I'm a good-for-nothing woman, but I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm a good-for-nothing woman, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing, and I'm good-for-nothing."
3849078,E. Radio ezimwagaba nituzituga tunta ariho abariharaho radio nabeli zitakwika abo nibaza kukolabata kale mwebale obutumwa,nyn,,ug,2017-11-22 12:25:09+00:00,E. Radio broadcasters are not allowed to listen to the radio while those who listen to it are not allowed to listen to it or even to listen to it when they read the message.
3849082,S dawa ya viroboto.kwa kuku,swa,poultry,ke,2017-11-22 12:25:10+00:00,It's a viroboto vaccine for chicken.
3849096,S dawa.ya.viroboto.kwa.kuku,swa,poultry,ke,2017-11-22 12:25:12+00:00,S dawa.ya.viroboto.kwa.kuku is also available.
3849117,"Q:niko Na Punda,,anakohoa Ni Dawa Gany Naexa Mpea Na Ako Karibu Kuzaa",swa,,ke,2017-11-22 12:25:15+00:00,"Q:Niko Na Punda,anakohoa and Drwa Gany Naexa Mpea and Ako near Kuzaa"
3849143,S Ng'ombe aina kani itoayo maziwa 20 lita kwa siku?,swa,cattle,ke,2017-11-22 12:25:18+00:00,What kind of cow eats 20 litres of milk a day?
3849195,S niko na watu kumi hapa busia kwa sasa wanauliza je mtakuja kuwaeleza kiundani ?,swa,,ke,2017-11-22 12:27:18+00:00,I'm with ten people who are busy right now asking if you're going to come and explain the situation to them.
3849220,E embibo ya watermeroni ndagyihahi ndi Amos omuri mpungu,nyn,watermelon,ug,2017-11-22 12:29:02+00:00,E watermeroni eggplant by Amos omuri the eagle.
3849249,E'izina stephen,nyn,,ug,2017-11-22 12:31:37+00:00,His name is stephen.
3849286,S      DAWA  YA  VIFARANGA   YA  KWANZIA   SIKU   MOJA   NI  GANI  NA  BEI   GANI,swa,chicken,ke,2017-11-22 12:35:06+00:00,A day in the life of Ghana and Benin.
3849297,"E Niwamanya Cosiima Nabunza Omucheri NAADS, Okuguhiga Omunyiriri, Ogutari Omunyiriri Ekirasiga Ninki -!",nyn,rice,ug,2017-11-22 12:35:53+00:00,"You know everything about cheating, cheating, cheating, cheating, and cheating - that's all!"
3849303,"S Nikipanda mahindi pila mbolea, halafu ikimea nimwagie mixture ya D A P na urea itakua sawa?",swa,maize,ke,2017-11-22 12:36:16+00:00,"If I plant corn pila fertilizer, and then I use a mixture of D A P and urea, will it grow?"
3849313,S napier ndie ifanya ngombe itoe maziwa mingi uweza kuifanya nini,swa,cattle,ke,2017-11-22 12:37:26+00:00,S napier is what makes a cow drink more milk.
3849313,S napier ndie ifanya ngombe itoe maziwa mingi uweza kuifanya nini,swa,napier-grass,ke,2017-11-22 12:37:26+00:00,S napier is what makes a cow drink more milk.
