question_language,term,sample_english,term_occurrences,n_questions
swa,gani,"I am a farmer of Indian origin but if I have tuna, pingi and corn I can use it.",632,537
swa,kuku,It's a viroboto vaccine for chicken.,578,375
swa,dawa,It's a viroboto vaccine for chicken.,514,452
swa,kwa,It's a viroboto vaccine for chicken.,484,376
swa,nataka,"S,I'd like to grow a 100 degree chicken pie and I'll build your house with chicken.I'll have a few feet per square foot.",215,110
swa,mahindi,"If I plant corn pila fertilizer, and then I use a mixture of D A P and urea, will it grow?",188,144
swa,wapi,I CAN get it from wherever I want it.,183,155
swa,nini,S napier is what makes a cow drink more milk.,180,143
nyn,kandi,How do I know why I'm here and why I'm here?,179,153
swa,kienyeji,"Q,What kind of treatment have we tried using chicken Upantewa Homa?",174,78
nyn,ndi,E#HUMAN WORKING IN THE WORLD OF GOD AYOHEREZA'S WITNESS WITNESS THE WORLD RIMMER and the name of Jesus and the name of YABA ARAGUZA and ANACLET RUHIJA RUBANDA DISTRICT webare 0756761107,173,157
swa,wangu,"Ng, my cow never drinks milk.",171,150
nyn,ninyenda,Do you want to buy a rental car?,171,153
nyn,ente,"And how to win the world A'RUNGURU YEBARA, AMANGURU, A'HA'KYISRA.NIBURWIREKI is born.",160,138
swa,niko,"Q:Niko Na Punda,anakohoa and Drwa Gany Naexa Mpea and Ako near Kuzaa",154,124
swa,mbegu,S tapataje. seeds of French beans.,147,136
swa,ngapi,How many shillings is a milk goat?,146,113
swa,nyanya,"When planting tomatoes, what dose do you take from female to female?",145,114
nyn,nimbuza,E Kerebu Kuruga Kamwenge Nimbuza and then Ferru Water Meron and Omwitaka Neyerera for several months.,141,136
swa,sungura,S.naeza where to find ready nested rabbit houses.,131,108
swa,ngombe,"S,NAULISA,Will you be able to live a life of zero grass today?",128,95
swa,ili,It's a good idea to cook a chicken so it doesn't have to be cooked.,124,104
swa,mayai,My two chickens lay two eggs in one day.,123,95
swa,kupanda,S is't gud kuwek manure for cranberry planting wells.,122,99
swa,jibu,Faith asks: a robotic vaccine for chicken answer S125 followed by your answer.,121,63
swa,kama,"Robert asks, ""Are you on drugs or not?"" The answer to S25 is followed by your answer.",121,84
swa,vifaranga,S Money and grades,116,92
swa,naweza,"S,I can find the Kienyegi Cake Market.",115,91
nyn,nyine,"Yes, I'm the one who's looking at you and I'm looking forward to seeing you again.",114,106
swa,shida,"I've planted the apples about three times but instead of biting, they are burning.",112,89
swa,kuna,What is the best way to grow Miraa seedlings quickly without compromising the quality of the seedlings?,109,89
nyn,enkoko,E Enkoko throws a small bottle of water and drives a car in the middle of nowhere.,107,92
swa,aina,"I'm trying to figure out what I'm going to do with this one, and I'm going to have 5,000 shillings.",106,91
swa,viazi,Do you have a visa to visit?,101,72
swa,moja,A day in the life of Ghana and Benin.,99,76
nyn,ebihimba,How many mixing hearts do you have?,97,90
