term,frequency,example_1,example_2,example_3,category,definition
chicken,844,It's a viroboto vaccine for chicken.,It's a good idea to cook a chicken so it doesn't have to be cooked.,What kind of chicken do I want to make? Nina Shamba Ndogo Nipande Mumea Why do I get so much fruit? Yes.,livestock,"Poultry kept for meat and eggs; farmers ask about vaccines, diseases, and feeding."
hen,391,E Ndi hilary nyine hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen hen,,,livestock,Adult female chicken; farmers usually ask about egg production or health.
goat,383,E Goat is going to get sick in the eyes of all the people around the world and get sick in the eyes of all the people around the world!,Who tries to be the Anausa goat of the sheep ?,How many shillings is a milk goat?,livestock,Small livestock raised for milk or meat; questions relate to pricing and diseases.
corn,152,"If I plant corn pila fertilizer, and then I use a mixture of D A P and urea, will it grow?","I am a farmer of Indian origin but if I have tuna, pingi and corn I can use it.","Army worms have eaten my corn and still scratched my head, what should I do?",crops,"Staple cereal crop; farmers ask about fertilizer use, pests, and irrigation."
water,152,E Kerebu Kuruga Kamwenge Nimbuza and then Ferru Water Meron and Omwitaka Neyerera for several months.,David and his father were blessed by the high priest Akisha Amaechi Obwire with a gallon of water.,It's worth noting that 5 liters of water is available to Godfrey BITSYA BUHWEJU.,inputs,Water supply for irrigation or livestock.
cow,151,What kind of cow eats 20 litres of milk a day?,S napier is what makes a cow drink more milk.,S napier is what makes a cow drink more milk.,livestock,Dairy or beef cattle; farmers ask about milk yield and feeding.
eggs,127,Is there any medicine or method to prevent birds from eating eggs?,Is there any medicine or method to prevent birds from eating eggs?,"E taremwa samuel nimbuza is a chicken of the chicken family that produces one or two eggs, one or two eggs, and one or two eggs.",livestock,Egg production from poultry; questions include birds eating eggs or low yield.
chickens,117,Chickens and cakes for sale.,And the chickens are going to feed on the grass.,My two chickens lay two eggs in one day.,livestock,General flock of poultry; often related to feeding and egg laying.
milk,117,What kind of cow eats 20 litres of milk a day?,S napier is what makes a cow drink more milk.,S napier is what makes a cow drink more milk.,livestock,Dairy product; often linked to cow nutrition and productivity.
grow,113,"If I plant corn pila fertilizer, and then I use a mixture of D A P and urea, will it grow?",E Nimbashaba Mungambire How can you grow Enkooko Zenyankore with the help of a healthy diet.,"E Omwaani In order to grow well Nikugukoranta, Haza Amababi Nigatukura.",actions,Crop or livestock growth conditions and improvement.
